category,user_id,review_id,parent_asin,product_title,true_rating,predicted_rating,absolute_error,squared_error,exact_match,within_1_star,baseline_predicted_rating,baseline_absolute_error,true_review_title,true_review_text,simulated_review_text,rouge_l,bertscore_f1,review_length_delta,user_typical_review_length_delta,dcr_classification,status,error_message,model_name,prompt_version,persona_version,rating_valid,review_non_empty,product_grounding_check,hallucination_detected,behaviour_passed,simulation_result_stored,real_rating_stored,predicted_rating_stored,real_review_stored,simulated_review_stored,model_name_recorded,prompt_version_recorded,persona_version_recorded,governance_passed,correct_category_used,persona_evidence_present,context_passed
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,47b3e9820a141f8544b439125aec70d9,B01MQSY78Q,"Zensah Ankle Support - Compression Ankle Brace - Great for Running, Soccer, Volleyball, Sports - Ankle Sleeve Helps Sprains, Tendonitis, Pain",5.0,4.723,0.27700000000000014,0.07672900000000007,1,1,4.63,0.3700000000000001,Excellent compression sleeve,"Very nicely designed and made. Breathable, &#34;moisture-wicking&#34; material with no seams or creases. See photo. Odd kind of &#34;crinkly&#34; material which provides good support.","This ankle brace makes a difference for athletes needing reliable support during sports. The targeted compression helps with swelling, and the breathable fabric prevents overheating. Seamless design minimizes chafing, which is a hygienic solution for long wear. Machine washable feature adds convenience. Ideal for runners and hikers seeking ergonomic support without restricted movement.",0.0975609756097561,0.7575617432594299,29,-67,Yellow,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,4b46ffe9d06c9342e176b8eb59f8fc43,B09NQYY3HV,"DMI Seat Cushion Donut Pillow and Chair Pillow for Tailbone Pain Relief, Hemorrhoids, Prostate, Pregnancy, Post Natal, Pressure Relief and Surgery, 18 x 15 x 3, Plaid",5.0,4.707,0.29300000000000015,0.08584900000000009,1,1,4.63,0.3700000000000001,Good support,"Replaced an older &#34;doughnut&#34; pillow with this one, which ISN'T flat like the old one became. Strong and supportive yet comfortable. This pillow makes a big difference when sitting for an extended period! Inoffensive blue color. Quite pleased with this.","This donut pillow makes a noticeable difference for tailbone discomfort during long workdays. The high-density foam retains its shape well, and the removable cover is a hygienic solution for easy cleaning. While the oval shape conforms naturally to the body, I wish the packaging included clearer size measurements—18x15 inches felt slightly bulkier than expected for my chair. Still, it provides straightforward usability across office, car, and home settings. The polyester cover feels durable, though I’d prefer a more breathable fabric option for hot climates.",0.09230769230769231,0.7531589269638062,44,-36,Yellow,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,5fe5fd752a26c6114a372c22c498523a,B07VSHHNB3,"Amazon Basics 20-Pack AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",5.0,4.771,0.2290000000000001,0.05244100000000004,1,1,4.63,0.3700000000000001,Great batteries and plenty of them,"They're batteries. Plenty of 'em. The thing I like here is that Amazon is producing basic stuff like the Acme Company in the old Road Runner/Coyote cartoons, when the Coyote would order whatever he needed and it would be delivered (in the middle of the desert) in no time. I feel good about the brand and the batteries work just fine. You do not want to run out of batteries.","These Amazon Basics AAA batteries deliver straightforward usability and practical effectiveness. The 10-year leak-free shelf life makes them ideal for storing in emergency kits or using intermittently in devices like flashlights and remote controls. Frustration-Free Packaging is a convenient touch, avoiding the waste of traditional blister packs. While not rechargeable, they perform reliably across toys and gaming controllers as advertised. The value pack offers sufficient quantity without excess bulk, though I wish the packaging included clearer labeling for battery orientation. Still, they meet the core need of providing dependable power without design flaws impacting usability.",0.1411764705882353,0.7428540587425232,25,-25,Green,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,989cc81c92d16199ed30dc31e2d10361,B00012D0SG,Gamecube Memory Card 251,5.0,4.428,0.5720000000000001,0.3271840000000001,0,1,4.645,0.3550000000000004,Very satisfied with this Nintendo memory card,"Nintendo 250 memory card -- Nintendo packaging, looks 100% genuine, or maybe it's the best counterfeit of all time. That's meant as a joke. This is the real item.","This GameCube Memory Card 251 is a snappy upgrade from the older 59-block model, offering more than four times the storage space. The 251 blocks make it bulletproof for most game save needs, though you'll still need to check individual game requirements as noted in the manual. Setup was straightforward—just pop it in and start saving. The waterproof special feature is a nice touch for durability, and at 0.02 pounds, it's barely there. While not seeing coming any major flaws, the lack of built-in Wi-Fi management feels like a first-world problem in 2024. Still, it's a reliable shore power supply for GameCube save data.",0.11188811188811189,0.740267813205719,75,-16,Green,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,a3fda628d1bacac356f92835a08b2250,B07BJB1ZYL,DigiOrange 200 Premium Self Adhesive White Blank Half Page Shipping Labels 8.5x5.5 for Laser Inkjet Printer,5.0,4.349,0.6509999999999998,0.42380099999999976,0,1,4.645,0.3550000000000004,Excellent half-sheet self-adhesive labels!,"Great value! Easy to print using my Epson inkjet, easy to apply, no curling or other label problems. Very good price!","These DigiOrange labels work snappy with my laser printer and haven't jammed once—key for high-volume shipping. The diagonally slit sheets make tearing easy without curling, which is a nice touch. While not as technically exciting as a dual-core router, they're jam-free and 2x cheaper than competitors. The adhesive holds firmly on cardboard boxes, though I wish they offered a glossy finish for sharper text. For straightforward postage needs, these are bulletproof.",0.061224489795918366,0.7416931986808777,50,-49,Yellow,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,cc843c7a8e8148f2a326f2af0e31ad99,B01G47U2Z0,"AC Infinity Turbo Fan Power Adapter, for MULTIFAN Series USB Fans",5.0,4.428,0.5720000000000001,0.3271840000000001,0,1,4.645,0.3550000000000004,Nicely made accessory for AC Infinity Multifan series fans,"Very nicely made accessory for the AC Infinity Multifan series. Nice little cardboard package, nice and neat.","This adapter delivers a snappy 25% RPM boost to MULTIFAN series fans—easily the fastest performance I've seen in this category. The jitter-free power delivery feels bulletproof, and the increased CFM makes a noticeable difference in airflow. However, the strict compatibility limitations caught me off guard; it won't work with any non-AC Infinity USB fans. For first-world problem enthusiasts who need shore power supply reliability in a dedicated setup, this is a solid choice. Just be sure your fan is MULTIFAN-approved before purchasing.",0.07547169811320754,0.7460148930549622,65,-38,Yellow,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,6b5147db9caf5891fe2db66b1c3f34fb,B0B35BGQ55,"2' Feet, White RG6 Coaxial Cable (Coax Cable) with Weather Proof Connectors, F81 / RF, Digital Coax - AV, Cable TV, Antenna, and Satellite, CL2 Rated, 2 Foot",5.0,4.778,0.22200000000000042,0.04928400000000019,1,1,4.645,0.3550000000000004,"Supple, well-manufactured coax cable","Good quality, supple, nice and clean-looking. It's basic coax, but it's nicely made and I'm more than satisfied with it. Good value.","This RG6 coaxial cable delivers exactly what you'd expect from a premium signal conduit—no surprises, just bulletproof performance. The weatherproof connectors hold up against UV exposure and moisture, which matters if you're running outdoor antennas or satellite setups. I tested it with my HD antenna array and satellite dish, and both systems retained crystal-clear picture quality without signal dropouts. The 18 AWG center conductor handles high-frequency bands like a champ, though I didn't see any tangible benefits from the 3.0GHz spec in my home setup. Installation was straightforward: just screw the F81 connectors into your devices and you're good to go. While the 2-foot length feels oddly specific, it works perfectly for my compact entertainment center. No complaints about durability or connectivity—this is the kind of no-fuss cable you'll forget exists until you need it to work flawlessly.",0.05681818181818182,0.7428438067436218,116,18,Yellow,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,395579e7c306e6e829dcabcbed85cc2b,B089PMMT1X,Western Digital 4TB Blue My Passport Portable External Hard Drive - USB 3.0 - Western DigitalBYFT0040BBL-WESN,5.0,4.396,0.6040000000000001,0.3648160000000001,0,1,4.645,0.3550000000000004,"Great little USB 3.0 drive, works well, looks fantastic","(Yellow case and cord) Looks fantastic. Quite small. Makes me wish I had USB 3.0 on this ancient MacBook. Works well, very good value. I didn't touch the WD utilities but rather went ahead and formatted it via Disk Utility.","This My Passport drive delivers snappy USB 3.0 transfer speeds and the bulletproof build quality Western Digital is known for. The hardware encryption and WD Backup software setup was straightforward, though I hit a minor snag when connecting to my Mac—required reformatting wasn't clearly explained in the instructions. For Windows users, this is a trusted storage solution with lag-free performance. The blue anodized aluminum finish feels premium, but don't expect plug-and-play simplicity across all OS platforms. Still, it's a solid choice for file archiving needs.",0.13333333333333333,0.772350549697876,45,-35,Green,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,9aacf1da771e8dc1e7774e8d6c476272,B01M0CP2ZG,Canon EF-S 24mm f/2.8 STM Lens,5.0,4.428,0.5720000000000001,0.3271840000000001,0,1,4.645,0.3550000000000004,"Excellent value, excellent performance","VERY nice lens -- this is the one you want over Canon's 50mm f/1.8 if you have a modern &#34;prosumer&#34; type of 1.6x crop digital camera. The 50mm effectively becomes an 80mm which may be ideal for portraiture work, but it's just not as useful as this 24mm! The short barrel length means that this lens can handle a lot of light without the issues a zoom lens (ick, ptui, zoom lenses) can have. Really delighted to have this lens. This 24mm is everything I was hoping the 50mm would be. Very, very happy with this lens. Typically great Canon build quality, great quality glass for the money.","The Canon EF-S 24mm f/2.8 STM isn't a gaming router or audio adapter—my usual sweet spot—but it delivers the snappy STM autofocus I expect from high-end electronics. The STM motor supports smooth movie Servo AF, which feels jitter-free during video clips. At under 10 oz, the slim design is convenient for carrying, though the 38mm equivalent focal length feels slightly narrow for street photography. Circular 7-blade aperture creates soft bokeh, but I'd have preferred a faster f/2 maximum aperture for low-light work. No shipping damage here, which is a relief given my past issues. A competent, no-frills lens that works as advertised.",0.13973799126637554,0.7820405960083008,-6,-18,Green,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,d4c1a410e0da9784d4dfbe54e36765ef,B00809BQZG,"AC Infinity, Fan Speed Controller for 100 to 125V AC Axial Muffin Cooling Fans, Single Connector, for DIY Cooling Ventilation Exhaust Projects",5.0,4.412,0.5880000000000001,0.3457440000000001,0,1,4.645,0.3550000000000004,"Necessary speed controller, works great",Very useful speed controller for the AC Infinity series fans.  You don't want the fan running full blast all the time. Dial in just the right volume of air you need.,"This AC Infinity fan speed controller delivers snappy control over 100-125V axial fans with a bulletproof adapter design. The 6-foot cable length gives you flexibility for DIY ventilation setups, and the wall-mount screws make installation a breeze. While the 32 dB noise level is negligible at normal speeds, max output produces a faint hum that wasn't immediately noticeable but becomes a first-world problem in silent environments. The dual-core processor analogy doesn't apply here, but the jitter-free voltage adjustment from 0-125V works exactly as promised for airflow optimization.",0.125,0.755948543548584,56,-33,Green,success,,qwen/qwen3-32b,task_a_simulation_v1,v1,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True
