category,user_id,holdout_review_id,holdout_asin,holdout_product_title,holdout_rating,rank_of_holdout,hit_at_10,ndcg_score,reciprocal_rank,holdout_in_candidate_pool,evaluation_mode,recommendations,recommendation_reasons,candidate_count,retrieval_sources,baseline_recommendations,baseline_rank_of_holdout,baseline_hit_at_10,baseline_ndcg_score,baseline_reciprocal_rank,recommendation_run_id,dcr_classification,status,error_message,model_name,prompt_version,persona_version,embedding_model,output_valid,reviewed_product_recommended,behaviour_passed,recommendation_run_stored,intent_plan_stored,intent_plan_has_retrieval_query,intent_plan_has_constraints,intent_plan_has_model_recorded,candidates_stored,retrieval_sources_stored,score_breakdown_stored,model_name_recorded,prompt_version_recorded,persona_version_recorded,embedding_model_recorded,governance_passed,correct_category_used,request_constraints_reflected,persona_train_products_excluded,holdout_not_wrongly_excluded,cross_domain_values_used,context_passed
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,1b85657021ec3293bc3812353a2911b7,B0C63XSP4V,"American Greetings Gift Boxes Push Down, Multicolored with Designs (6 Boxes)",5.0,,0.0,0.0,0.0,True,True,"[""B082NQ8HQ6"", ""B09YRZ21PL"", ""B006K3UAF6"", ""B0CGM5CJQG"", ""B0BCZN92DY"", ""B0CB654FZP"", ""B09ZZTN94Y"", ""B00YMVI49W"", ""B07WQ6K4CP"", ""B0C57GT136""]","[""This fits the request through product quality score 0.96, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.96, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30.""]",51.0,"{""collaborative"": 25, ""request_query"": 24, ""attribute_match"": 25, ""preference_vector"": 37, ""evaluation_holdout"": 1}","[""B00QWO9P0O"", ""B07VSHHNB3"", ""B07PQ8WTC4"", ""B07W94X4QJ"", ""B0C3M2NBS7"", ""B08FMHVMM6"", ""B00EZ1ZTFG"", ""B0BWK813BD"", ""B0C4VTPT1Y"", ""B0C8L7JQ6B""]",,0.0,0.0,0.0,b9e4467a-4aaf-44e1-919f-d4b52d4e4aba,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,139b3e18be2aa717cb026a915eb72fe5,B072KDRZH5,"Cottonelle Ultra ComfortCare Family Roll Plus Toilet Paper, Bath Tissue, 36 Toilet Paper Rolls",5.0,,0.0,0.0,0.0,True,True,"[""B082NQ8HQ6"", ""B09YRZ21PL"", ""B006K3UAF6"", ""B0CGM5CJQG"", ""B0BCZN92DY"", ""B0CB654FZP"", ""B09ZZTN94Y"", ""B00YMVI49W"", ""B07WQ6K4CP"", ""B0C57GT136""]","[""This fits the request through product quality score 0.96, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.96, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30.""]",51.0,"{""collaborative"": 25, ""request_query"": 24, ""attribute_match"": 25, ""preference_vector"": 37, ""evaluation_holdout"": 1}","[""B00QWO9P0O"", ""B07VSHHNB3"", ""B07PQ8WTC4"", ""B07W94X4QJ"", ""B0C3M2NBS7"", ""B08FMHVMM6"", ""B00EZ1ZTFG"", ""B0BWK813BD"", ""B0C4VTPT1Y"", ""B0C8L7JQ6B""]",,0.0,0.0,0.0,2af11914-99c9-443f-9494-e2d53aaf0b9b,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,2afda02571e6de22ac36b31c7f258c04,B001FNPJXO,"3M Easy Trap Duster - sweep & dust sheets, 8"" x 6"" sheets; 60 sheets/roll (1 Roll)",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,8042eabed4049a517b10de4c82b624a6,B004UR487A,Onkyo C-7030 Home Audio CD Player - Black,5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,a2089e0b04141bc13b4d58eaffa5c8b1,B07S6X6RLG,Sony DVPSR210P DVD Player,5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,4d8c94699e90f5d75aca1bfb90304707,B01L6W1ZYK,Bestshoot Desktop Mini Tripod Load 3KG Universal 3 Legs Monopod Base Stand Unipod Support Compatible with Canon 60D 60D 5D Nikon D90 Sony A58 A7RII DSLR Cameras Video Micro Shooting,5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,f0a03a0a358aae3a729d8cde9d608075,B00FB50S0Q,Amazon Basics 4 Port USB to USB 3.0 Hub with 5V/2.5A power adapter,5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,a9f054920bc18ab86d3691392bd3986e,B089PMMT1X,Western Digital 4TB Blue My Passport Portable External Hard Drive - USB 3.0 - Western DigitalBYFT0040BBL-WESN,5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,cfe7002b2395570f15afa8563787e2ff,B00KC0HVTQ,"Panasonic DVD Player with Dolby Digital Sound, 1080p HD Upscaling for DVDs, HDMI and USB Connections - DVD-S700 (Black)",4.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,639d0a7153ff24f9b1b6985bfc8adc53,B07NWC34B9,"Housolution 28.34in Grabber Tool Magnetic Four-Claw Picker, Bendable Hose Reacher Pickup Sweeper with LED Light Battery, Flexible Long Handy Reaching Assist Tool for Litter Pick/Home Sink/Drain, Blue",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
